Timestamp,Emotion,Confidence
2025-07-14 23:26:58.118813,Fear,34.09
2025-07-14 23:26:58.309727,Happy,94.96
2025-07-14 23:26:58.530791,Happy,99.31
2025-07-14 23:26:58.829283,Happy,95.64
2025-07-14 23:26:59.017364,Happy,94.60
2025-07-14 23:26:59.230809,Happy,96.45
2025-07-14 23:26:59.420756,Neutral,47.10
2025-07-14 23:26:59.598657,Sad,30.02
2025-07-14 23:26:59.790533,Sad,42.10
2025-07-14 23:26:59.989027,Sad,37.18
2025-07-14 23:27:00.182489,Fear,37.99
2025-07-14 23:27:00.365183,Fear,40.74
2025-07-14 23:27:00.550398,Fear,33.99
2025-07-14 23:27:00.740954,Fear,39.37
2025-07-14 23:27:00.922934,Fear,38.94
2025-07-14 23:27:01.116428,Fear,41.96
2025-07-14 23:27:01.302013,Fear,40.65
2025-07-14 23:27:01.496165,Fear,44.75
2025-07-14 23:27:01.677509,Fear,38.27
2025-07-14 23:27:01.865353,Fear,59.37
2025-07-14 23:27:02.068508,Fear,50.06
2025-07-14 23:27:02.244612,Fear,34.04
2025-07-14 23:27:02.430442,Fear,47.38
2025-07-14 23:27:02.645569,Fear,44.54
2025-07-14 23:27:03.273270,Fear,33.18
2025-07-14 23:27:03.460996,Fear,39.49
2025-07-14 23:27:03.651252,Fear,38.52
2025-07-14 23:27:03.827140,Fear,38.77
2025-07-14 23:27:04.002319,Fear,34.98
2025-07-14 23:27:04.181038,Fear,43.69
2025-07-14 23:27:04.376751,Neutral,46.53
2025-07-14 23:27:04.555707,Fear,32.77
2025-07-14 23:27:04.750534,Sad,30.69
2025-07-14 23:27:04.933884,Fear,35.47
2025-07-14 23:27:05.112930,Fear,31.40
2025-07-14 23:27:05.295896,Neutral,33.28
2025-07-14 23:27:05.481160,Neutral,43.06
2025-07-14 23:27:05.671259,Sad,51.85
2025-07-14 23:27:05.857449,Sad,33.59
2025-07-14 23:27:06.060416,Sad,28.65
2025-07-14 23:27:06.244241,Sad,33.37
2025-07-14 23:27:06.425904,Neutral,28.44
2025-07-14 23:27:06.609058,Fear,29.61
2025-07-14 23:27:06.804779,Sad,28.61
2025-07-14 23:27:06.989385,Sad,32.33
2025-07-14 23:27:07.178566,Neutral,29.16
2025-07-14 23:27:07.366628,Sad,32.78
2025-07-14 23:27:07.545950,Neutral,39.89
2025-07-14 23:27:07.742046,Sad,36.79
2025-07-14 23:27:07.933698,Neutral,32.67
2025-07-14 23:27:08.128183,Neutral,35.89
2025-07-14 23:27:08.329320,Neutral,33.50
2025-07-14 23:27:08.511564,Sad,33.97
2025-07-14 23:27:08.695809,Sad,30.45
2025-07-14 23:27:08.892179,Sad,32.08
2025-07-14 23:27:09.074493,Neutral,29.28
2025-07-14 23:27:09.253195,Neutral,37.21
2025-07-14 23:27:09.440012,Neutral,41.15
2025-07-14 23:27:09.637383,Neutral,60.73
2025-07-14 23:27:09.814222,Neutral,38.82
2025-07-14 23:27:10.006655,Neutral,42.04
2025-07-14 23:27:10.205236,Neutral,34.49
2025-07-14 23:27:10.387793,Neutral,32.43
2025-07-14 23:27:10.578199,Fear,36.94
2025-07-14 23:27:10.765670,Fear,52.25
2025-07-14 23:27:10.960590,Fear,50.32
2025-07-14 23:27:11.148209,Fear,43.34
2025-07-14 23:27:11.342205,Fear,44.58
2025-07-14 23:27:11.527194,Fear,64.98
2025-07-14 23:27:11.715536,Fear,48.45
2025-07-14 23:27:11.909981,Fear,45.26
2025-07-14 23:27:12.110836,Neutral,44.01
2025-07-14 23:27:12.296305,Happy,29.19
2025-07-14 23:27:12.479086,Happy,41.98
2025-07-14 23:27:13.386661,Angry,45.70
2025-07-14 23:27:13.555970,Angry,43.17
2025-07-14 23:27:13.742432,Neutral,35.77
2025-07-14 23:27:13.964734,Angry,47.54
2025-07-14 23:27:14.292944,Angry,45.45
2025-07-14 23:27:18.604829,Happy,51.64
2025-07-14 23:27:18.796966,Neutral,49.97
2025-07-14 23:27:18.995433,Neutral,52.80
2025-07-14 23:27:19.203575,Neutral,50.70
2025-07-14 23:27:19.402701,Neutral,66.27
2025-07-14 23:27:19.584402,Neutral,55.52
2025-07-14 23:27:19.780530,Fear,29.18
2025-07-14 23:27:19.961859,Neutral,58.06
2025-07-14 23:27:20.157519,Neutral,48.46
2025-07-14 23:27:20.343708,Neutral,41.16
2025-07-14 23:27:20.546661,Angry,32.71
2025-07-14 23:27:20.749660,Angry,29.32
2025-07-14 23:27:20.930100,Neutral,26.41
2025-07-14 23:27:21.124359,Angry,45.54
2025-07-14 23:27:21.301503,Angry,33.37
2025-07-14 23:27:21.481456,Angry,35.81
2025-07-14 23:27:21.668492,Angry,36.49
2025-07-14 23:27:21.848921,Angry,39.36
2025-07-14 23:27:22.032862,Angry,41.07
2025-07-14 23:27:22.225041,Angry,45.79
2025-07-14 23:27:22.403195,Angry,43.37
2025-07-14 23:27:22.583433,Angry,38.12
2025-07-14 23:27:22.768524,Angry,40.10
2025-07-14 23:27:22.948678,Angry,44.97
2025-07-14 23:27:23.122947,Angry,44.00
2025-07-14 23:27:23.306786,Angry,42.55
2025-07-14 23:27:23.497608,Angry,38.31
2025-07-14 23:27:23.695623,Angry,33.97
2025-07-14 23:27:23.880003,Angry,31.81
2025-07-14 23:27:24.065405,Happy,59.29
2025-07-14 23:27:24.252675,Angry,28.99
2025-07-14 23:27:24.428850,Neutral,28.11
2025-07-14 23:27:24.614369,Happy,32.63
2025-07-14 23:27:25.828251,Happy,96.66
2025-07-14 23:27:26.066484,Happy,51.64
2025-07-14 23:27:26.250656,Neutral,36.66
2025-07-14 23:27:26.440946,Happy,44.61
2025-07-14 23:27:26.624082,Happy,56.73
2025-07-14 23:27:26.816650,Happy,62.02
2025-07-14 23:27:27.002651,Happy,54.71
2025-07-14 23:27:27.213289,Happy,60.18
2025-07-14 23:27:27.406097,Happy,73.51
2025-07-14 23:27:27.590464,Happy,64.54
2025-07-14 23:27:27.738145,Happy,35.48
2025-07-14 23:27:27.959965,Neutral,41.82
2025-07-14 23:27:28.231348,Neutral,34.02
2025-07-14 23:27:28.691116,Happy,33.58
Timestamp,Emotion,Confidence
2025-07-14 23:42:44.554405,Neutral,55.57
2025-07-14 23:42:46.530011,Happy,50.64
2025-07-14 23:42:46.786460,Happy,28.88
2025-07-14 23:42:46.978329,Angry,30.17
2025-07-14 23:42:47.205397,Neutral,33.01
2025-07-14 23:42:47.393219,Neutral,34.80
2025-07-14 23:42:47.577763,Neutral,50.67
2025-07-14 23:42:47.765142,Neutral,52.94
2025-07-14 23:42:47.951783,Fear,33.37
2025-07-14 23:42:48.143673,Fear,31.44
2025-07-14 23:42:48.330392,Fear,33.12
2025-07-14 23:42:48.525490,Happy,99.46
2025-07-14 23:42:48.702113,Happy,99.77
2025-07-14 23:42:48.896980,Happy,99.66
2025-07-14 23:42:49.085386,Happy,99.70
2025-07-14 23:42:49.267691,Neutral,40.59
2025-07-14 23:42:49.466291,Neutral,41.12
2025-07-14 23:42:49.665067,Neutral,33.95
2025-07-14 23:42:49.859257,Fear,29.22
2025-07-14 23:42:50.036694,Neutral,33.86
2025-07-14 23:42:50.213564,Fear,24.03
2025-07-14 23:42:50.357001,Fear,45.02
2025-07-14 23:42:50.550083,Fear,39.60
2025-07-14 23:42:50.736746,Fear,44.33
2025-07-14 23:42:50.926746,Fear,37.67
2025-07-14 23:42:51.109220,Sad,33.39
2025-07-14 23:42:51.287726,Sad,31.71
2025-07-14 23:42:51.467708,Neutral,32.69
2025-07-14 23:42:51.647606,Fear,37.92
2025-07-14 23:42:51.837532,Fear,44.31
2025-07-14 23:42:52.023403,Fear,46.67
2025-07-14 23:42:52.210236,Fear,38.37
2025-07-14 23:42:52.395292,Happy,89.58
2025-07-14 23:42:52.567355,Happy,96.04
2025-07-14 23:42:52.742960,Neutral,38.14
2025-07-14 23:42:52.920166,Fear,35.43
2025-07-14 23:42:53.107125,Fear,44.42
2025-07-14 23:42:53.287193,Fear,65.17
2025-07-14 23:42:53.481718,Fear,38.84
2025-07-14 23:42:53.663842,Fear,35.68
2025-07-14 23:42:53.852872,Happy,70.09
2025-07-14 23:42:54.032955,Happy,65.63
2025-07-14 23:42:54.313321,Neutral,33.77
2025-07-14 23:42:54.498476,Angry,36.17
2025-07-14 23:42:54.688223,Angry,26.99
2025-07-14 23:42:54.876201,Neutral,28.82
2025-07-14 23:42:55.068987,Neutral,43.69
2025-07-14 23:42:55.262966,Happy,34.49
2025-07-14 23:42:55.490476,Angry,29.84
